Title,Price,Image Src,Link
Mouse Pad Gembird M Printable,"90,00 ден.",https://www.anhoch.com/storage/media/mpprintm.jpg,https://www.anhoch.com/products/mouse-pad-gembird-m-printable-6865
"Xiaomi Mi LCD Writing Tablet 13.5""","1.190,00 ден.",https://www.anhoch.com/storage/media/bhr4245gl_1.jpg,https://www.anhoch.com/products/xiaomi-mi-lcd-writing-tablet-135-9634
"Notebook Asus Zenbook 14 Q415 Ultra 5 125H/8GB/512GB SSD/14"" WUXGA OLED Touch/Backlit KB/Win11/Gray","44.980,00 ден.",https://www.anhoch.com/storage/media/q415ma-u5512_1.jpg,https://www.anhoch.com/products/notebook-asus-zenbook-14-q415-ultra-5-125h8gb512gb-ssd14-wuxga-oled-touchbacklit-kbwin11gray-2754
"Notebook Lenovo ThinkBook 16 G7 Ultra 7 155H/16GB/1TB SSD/16"" WUXGA IPS/Backlit Kb/DOS","54.980,00 ден.",https://www.anhoch.com/storage/media/21ms005mrm_1.jpg,https://www.anhoch.com/products/notebook-lenovo-thinkbook-16-g7-ultra-7-155h16gb1tb-ssd16-wuxga-ipsbacklit-kbdos-6371
"Monitor 24"" Samsung LS24D300GAUXEN S30GD 100Hz IPS Panel, FHD, HDMI, VGA, 5ms","4.980,00 ден.",https://www.anhoch.com/storage/media/ls24d300gauxen.jpg,https://www.anhoch.com/products/monitor-24-samsung-ls24d300gauxen-s30gd-100hz-ips-panel-fhd-hdmi-vga-5ms-4035
Notebook Power Adapter SBOX for HP 65W 19.5V 4.5/3.0mm - Compatible,"740,00 ден.",https://www.anhoch.com/storage/media/hp65w-2.jpg,https://www.anhoch.com/products/notebook-power-adapter-sbox-for-hp-65w-195v-4530mm--compatible-7396
Keyboard MOYE Wireless Essentials,"750,00 ден. 890,00 ден.",https://www.anhoch.com/storage/media/3008202114134505042603145-29581186072755_500x.jpg,https://www.anhoch.com/products/keyboard-moye-wireless-essentials-2772
"Tablet PC Lenovo Tab M10+ Gen3 TB-125FU Octa 2.0GHz/4GB/64GB/10.6"" 2K IPS/ WiFi/BT/A12/Grey","9.480,00 ден.",https://www.anhoch.com/storage/media/zaam0157pl_1.jpg,https://www.anhoch.com/products/tablet-pc-lenovo-tab-m10-plus--gen3-tb125fu-octa-20ghz4gb64gb106-2k-ips-wifibta12grey-2756
"Monitor 27"" Samsung LS27D300GAUXEN S30GD 100Hz IPS Panel, FHD, HDMI, VGA, 5ms","6.680,00 ден.",https://www.anhoch.com/storage/media/ls24d300gauxen.jpg,https://www.anhoch.com/products/monitor-27-samsung-ls27d300gauxen-s30gd-100hz-ips-panel-fhd-hdmi-vga-5ms-4036
Notebook Power Adapter SBOX for Acer 65W 19V/3.42A 5.5/1.7mm - Compatible,"690,00 ден.",https://www.anhoch.com/storage/media/ar65w.jpg,https://www.anhoch.com/products/notebook-power-adapter-sbox-for-acer-65w-19v342a-5517mm--compatible-7397
Mouse Targus ErgoFlip EcoSmart Bluetooth Ambidextrous Ergonomic,"2.480,00 ден.",https://www.anhoch.com/storage/media/amb586gl-1.jpg,https://www.anhoch.com/products/mouse-targus-ergoflip-ecosmart-bluetooth-ambidextrous-ergonomic-1221
Notebook Power Adapter SBOX for Asus 65W 19V/3.42A 4/1.35mm Round - Compatible,"750,00 ден.",https://www.anhoch.com/storage/media/as65w.jpg,https://www.anhoch.com/products/notebook-power-adapter-sbox-for-asus-65w-19v342a-4135mm-round--compatible-7398
Keyboard HP Pavilion 200 Black w/Mouse,"1.190,00 ден.",https://www.anhoch.com/storage/media/c06607816.jpg,https://www.anhoch.com/products/keyboard-hp-pavilion-200-black-wmouse-6614
Backpack Apex Legends Small Keyart Gaming,"690,00 ден.",https://www.anhoch.com/storage/media/backpack-apex-legends-small-keyart.jpg,https://www.anhoch.com/products/backpack-apex-legends-small-keyart-gaming-8150
Mouse Natec Wireless Harrier 2 1600dpi Bluetooth White/Grey,"590,00 ден.",https://www.anhoch.com/storage/media/nmy1961.jpg,https://www.anhoch.com/products/mouse-natec-wireless-harrier-2-1600dpi-bluetooth-whitegrey-8918
Mouse Omega OM-06VR 3D Optical Black/Red 1200DPI USB,"170,00 ден.",https://www.anhoch.com/storage/media/om06vr.jpg,https://www.anhoch.com/products/mouse-omega-om06vr-3d-optical-blackred-1200dpi-usb-7126
Notebook Power Adapter SBOX for Dell 65W 19.5V/3.34A 4.5/3.0mm - Compatible,"750,00 ден.",https://www.anhoch.com/storage/media/dl65w.jpg,https://www.anhoch.com/products/notebook-power-adapter-sbox-for-dell-65w-195v334a-4530mm--compatible-7399
Backpack Apex Legends Small Lifeline,"690,00 ден.",https://www.anhoch.com/storage/media/backpackapexlifeline1.jpg,https://www.anhoch.com/products/backpack-apex-legends-small-lifeline-8151
Keyboard A4 FG1010 Wireless w/Mouse Grey,"1.090,00 ден.",https://www.anhoch.com/storage/media/fg1010.jpg,https://www.anhoch.com/products/keyboard-a4-fg1010-wireless-wmouse-grey-6632
Backpack League Of Legends,"690,00 ден.",https://www.anhoch.com/storage/media/14494440063031_500x.jpg,https://www.anhoch.com/products/backpack-league-of-legends-8152
"Notebook Lenovo ThinkBook 15 G4 Ryzen7 5825U/16GB/1TB/15.6"" FHD/Backlit KB/Dos","39.980,00 ден.",https://www.anhoch.com/storage/media/21dl003srm_1.jpg,https://www.anhoch.com/products/notebook-lenovo-thinkbook-15-g4-ryzen7-5825u16gb1tb156-fhdbacklit-kbdos-0713
"Notebook Stand SBOX CP-12 up to 17.3""","840,00 ден.",https://www.anhoch.com/storage/media/cp12.jpg,https://www.anhoch.com/products/notebook-stand-sbox-cp12-up-to-173-7402
Mouse Logitech Wireless M185 Swift Blue,"790,00 ден.",https://www.anhoch.com/storage/media/910-002236_1.jpg,https://www.anhoch.com/products/mouse-logitech-wireless-m185-swift-blue-2506
"Notebook Backpack Tellur Anti-theft V2 USB 15.6"" Gray","2.680,00 ден.",https://www.anhoch.com/storage/media/tll611232.jpg,https://www.anhoch.com/products/notebook-backpack-tellur-antitheft-v2-usb-156-gray-9947
Mouse Logitech Wireless B170 Black,"690,00 ден.",https://www.anhoch.com/storage/media/910-004798-1.jpg,https://www.anhoch.com/products/mouse-logitech-wireless-b170-black-0715
Pen Tablet XP-PEN Deco03 Wireless 5080LPI 8192 Pressure Levels,"4.980,00 ден.",https://www.anhoch.com/storage/media/deco03.jpg,https://www.anhoch.com/products/pen-tablet-xppen-deco03-wireless-5080lpi-8192-pressure-levels-6636
Grip Tape Glorious Model O- Minus,"450,00 ден.",https://www.anhoch.com/storage/media/glor-griptape-ominus1.jpg,https://www.anhoch.com/products/grip-tape-glorious-model-o-minus-1756
Grip Tape Glorious Model D- Minus,"390,00 ден.",https://www.anhoch.com/storage/media/glor-griptape-dminus.jpg,https://www.anhoch.com/products/grip-tape-glorious-model-d-minus-1757
Camera Arozzi Occhio FHD True Privacy,"3.980,00 ден.",https://www.anhoch.com/storage/media/azocchio.jpg,https://www.anhoch.com/products/camera-arozzi-occhio-fhd-true-privacy-3293
Mouse Logitech Wireless M196 Rose,"890,00 ден.",https://www.anhoch.com/storage/media/910-007461_1.jpg,https://www.anhoch.com/products/mouse-logitech-wireless-m196-rose-4045
"Notebook HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Silver","17.980,00 ден.",https://www.anhoch.com/storage/media/88x04ea.jpg,https://www.anhoch.com/products/notebook-hp-15-ryzen3-7320u8gb512gb156-fullhd-ipsdossilver-1438
Mouse Logitech Wireless M220 Silent Black,"1.090,00 ден.",https://www.anhoch.com/storage/media/910004878.jpg,https://www.anhoch.com/products/mouse-logitech-wireless-m220-silent-black-5870
Mouse Logitech Wireless M196 Off-White,"890,00 ден.",https://www.anhoch.com/storage/media/910-007460_1.jpg,https://www.anhoch.com/products/mouse-logitech-wireless-m196-offwhite-4046
Keyboard Natec Nautilus Slim Black/Grey,"420,00 ден.",https://www.anhoch.com/storage/media/nkl1507.jpg,https://www.anhoch.com/products/keyboard-natec-nautilus-slim-blackgrey-0991
Mouse Logitech Wireless M196 Graphite,"890,00 ден.",https://www.anhoch.com/storage/media/910-007459.jpg,https://www.anhoch.com/products/mouse-logitech-wireless-m196-graphite-6127
USB HUB 2.0 4-Port SBOX H-204 Black,"270,00 ден.",https://www.anhoch.com/storage/media/h204.jpg,https://www.anhoch.com/products/usb-hub-20-4port-sbox-h204-black-1504
Bitdefender Antivirus Plus Licence,"590,00 ден.",https://www.anhoch.com/storage/media/2019-av-en.jpg,https://www.anhoch.com/products/bitdefender-antivirus-plus-licence-9713
"Notebook HP 15 i5-1334U 16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Moonlight blue","25.980,00 ден.",https://www.anhoch.com/storage/media/a2lp6ea.jpg,https://www.anhoch.com/products/notebook-hp-15-i51334u-16gb512gb156-fhd-ipsiris-xetypecdosmoonlight-blue-7665
Mouse Pad White Shark Premium Gaming 90x40 Shikoro XL,"1.790,00 ден.",https://www.anhoch.com/storage/media/eslmp1shikoroxl-1.jpg,https://www.anhoch.com/products/mouse-pad-white-shark-premium-gaming-90x40-shikoro-xl-7137
Bitdefender Internet Security Licence,"790,00 ден.",https://www.anhoch.com/storage/media/2019-is-en.jpg,https://www.anhoch.com/products/bitdefender-internet-security-licence-9714
USB Hub Verbatim Type-C Multiport 2xUSB 3.0/HDMI/USB-C,"1.590,00 ден.",https://www.anhoch.com/storage/media/49140.jpg,https://www.anhoch.com/products/usb-hub-verbatim-typec-multiport-2xusb-30hdmiusbc-3554
Keyboard Logitech Wireless Pebble 2 Combo w/Mouse Pink,"3.980,00 ден.",https://www.anhoch.com/storage/media/920-012241.jpg,https://www.anhoch.com/products/keyboard-logitech-wireless-pebble-2-combo-wmouse-pink-6131
Mouse Dell MS3320W Wireless Black,"1.490,00 ден.",https://www.anhoch.com/storage/media/21072022165053use-ms3320w-details-hero-500-ng.jpg,https://www.anhoch.com/products/mouse-dell-ms3320w-wireless-black-0420
LCD/LED/Plasma Screen Cleaning Kit SBOX CS-02,"280,00 ден.",https://www.anhoch.com/storage/media/cs02-1.jpg,https://www.anhoch.com/products/lcdledplasma-screen-cleaning-kit-sbox-cs02-7140
"Monitor 27"" LG 27GR75Q-B Gaming IPS 165Hz 1ms, QHD, HDMIx2/DP G-sync, Freesync, HDR10","14.580,00 ден.",https://www.anhoch.com/storage/media/27gr75qb.jpg,https://www.anhoch.com/products/monitor-27-lg-27gr75qb-gaming-ips-165hz-1ms-qhd-hdmix2dp-gsync-freesync-hdr10-0980
Ascended Cable Glorious Purple,"1.090,00 ден.",https://www.anhoch.com/storage/media/glor-asc-purp1.jpg,https://www.anhoch.com/products/ascended-cable-glorious-purple-1765
Pen Tablet XP-PEN Deco01 V3 5080LPI 16384 Pressure Levels,"3.580,00 ден.",https://www.anhoch.com/storage/media/deco01v3.jpg,https://www.anhoch.com/products/pen-tablet-xppen-deco01-v3-5080lpi-16384-pressure-levels-4053
Ascended Cable Glorious White,"1.090,00 ден.",https://www.anhoch.com/storage/media/glor-asc-wht.jpg,https://www.anhoch.com/products/ascended-cable-glorious-white-1766
Wrist Pad Glorious Ergonomic Compact Size Keyboard Black Gaming,"1.390,00 ден.",https://www.anhoch.com/storage/media/gmpadrest-compact.jpg,https://www.anhoch.com/products/wrist-pad-glorious-ergonomic-compact-size-keyboard-black-gaming-1767
Pen Tablet XP-PEN Deco 640 5080LPI 16384 Pressure Levels,"1.790,00 ден.",https://www.anhoch.com/storage/media/deco640.jpg,https://www.anhoch.com/products/pen-tablet-xppen-deco-640-5080lpi-16384-pressure-levels-4055
"Notebook Stand Gembird up to 17.3""/1x150mm LED Fan/5 Levels/2xUSB Black","750,00 ден.",https://www.anhoch.com/storage/media/nbs1f17t01.jpg,https://www.anhoch.com/products/notebook-stand-gembird-up-to-1731x150mm-led-fan5-levels2xusb-black-4567
