Title_Store1,Title_Store2,Price_Store1,Price_Store2,HappyPrice_Store1,HappyPrice_Store2,Link_Store1,Link_Store2,Specs_JSON_Store1,Specs_JSON_Store2,Image_Store1,Image_Store2,Title_Similarity_Score,Specs_Similarity_Score
"Monitor 24"" Samsung LS24D300GAUXEN S30GD 100Hz IPS Panel, FHD, HDMI, VGA, 5ms","SAMSUNG GAMING 24"" LS24DG302EUXEN VA FHD HAS 180Hz","4.980,00 ден.",9.499,,8.399,https://www.anhoch.com/products/monitor-24-samsung-ls24d300gauxen-s30gd-100hz-ips-panel-fhd-hdmi-vga-5ms-4035,/categories/monitori1/SAMSUNG-GAMING-24--LS24DG302EUXEN-FLAT-180Hz-VA-FHD,"{""brand"": ""Samsung"", ""model"": ""LS24D300GAUXEN S30GD"", ""screen_size"": 24, ""resolution"": ""FHD (1,920 x 1,080)"", ""aspect_ratio"": ""16:9"", ""panel_type"": ""IPS"", ""refresh_rate"": ""100Hz"", ""response_time"": ""5 (GTG)"", ""connectivity_options"": ""D-Sub, HDMI"", ""adjustability_options"": ""Tilt (-2.0\u02da to 21.0\u02da)""}","{""brand"": ""SAMSUNG"", ""model"": ""LS24DG302EUXEN"", ""screen_size"": ""24\"""", ""resolution"": ""1920x1080"", ""aspect_ratio"": null, ""panel_type"": ""VA"", ""refresh_rate"": ""180Hz"", ""response_time"": ""1ms""}",https://www.anhoch.com/storage/media/ls24d300gauxen.jpg,/2024/11/27/24g3_7cb742ad-0bbd-4c05-9c98-18a30c5cc48a.jpg?width=192,0.6819,0.8146
"Tablet PC Lenovo Tab M10+ Gen3 TB-125FU Octa 2.0GHz/4GB/64GB/10.6"" 2K IPS/ WiFi/BT/A12/Grey",Таблет LENOVO Tab M10 (3rd Gen) 4GB/64GB WiFi+4G LTE (TB328XU),"9.480,00 ден.",9.799,,9.499,https://www.anhoch.com/products/tablet-pc-lenovo-tab-m10-plus--gen3-tb125fu-octa-20ghz4gb64gb106-2k-ips-wifibta12grey-2756,/categories/TABLETI/LENOVO-Tab-M10--3rd-Gen--4GB-64GB-WiFi-4G-LTE--TB328XU-,"{""brand"": ""Lenovo"", ""model"": ""Tab M10+ Gen3 TB-125FU"", ""operating_system"": ""Android 12"", ""processor"": ""Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55)"", ""ram"": ""4 GB"", ""storage_capacity"": ""64 GB"", ""display_size"": ""10.61 inches"", ""display_resolution"": ""1200 x 2000 pixels"", ""battery_life"": ""7700 mAh"", ""weight"": ""465 g"", ""dimensions"": ""251.2 x 158.8 x 7.5 mm""}","{""brand"": ""LENOVO"", ""model"": ""Tab M10 (3rd Gen)"", ""screen_size"": ""10.1"", ""resolution"": ""WUXGA (1920x1200)"", ""aspect_ratio"": null, ""processor"": ""Unisoc T610"", ""ram"": ""4GB"", ""storage"": ""64GB"", ""operating_system"": ""Android 11"", ""battery_life"": ""5000mAh"", ""weight"": null}",https://www.anhoch.com/storage/media/zaam0157pl_1.jpg,/2023/08/18/Lenovo02_4ee89aec-0d46-4c34-9cdc-d39653e320ff.JPG?width=192,0.7873,0.8399
"Notebook Lenovo ThinkBook 15 G4 Ryzen7 5825U/16GB/1TB/15.6"" FHD/Backlit KB/Dos",LENOVO IdeaPad 1 15AMN7 R3-7320U/16GB DDR5/512GB,"39.980,00 ден.",20.999,,19.599,https://www.anhoch.com/products/notebook-lenovo-thinkbook-15-g4-ryzen7-5825u16gb1tb156-fhdbacklit-kbdos-0713,/categories/prenosni_kompjuteri/84112854-LENOVO-IdeaPad-1-15AMN7-R3-7320U-16GB-DDR5-512GB,"{""brand"": ""Lenovo"", ""model"": ""ThinkBook 15 G4"", ""processor"": ""AMD Ryzen 7 5825U"", ""processor_generation"": ""8C / 16T"", ""ram"": ""16GB"", ""storage"": ""1TB SSD"", ""storage_type"": ""M.2 2242 PCIe 4.0x4 NVMe"", ""operating_system"": ""DOS"", ""display_size"": ""15.6\"""", ""display_resolution"": ""FHD (1920x1080)"", ""graphics_card"": ""Integrated AMD Radeon Graphics"", ""battery_life"": ""null""}","{""brand"": ""LENOVO"", ""model"": ""IdeaPad 1 15AMN7 R3"", ""processor"": ""AMD Ryzen 3 7320U"", ""cpu_cores"": ""4"", ""cpu_threads"": ""8"", ""cpu_speed"": ""2.4 / 4.1GHz"", ""ram"": ""16GB LPDDR5 5500MHz"", ""storage"": ""512GB SSD M.2 2242 PCIe 4.0x4 NVMe"", ""operating_system"": null, ""display_size"": ""15.6"", ""display_resolution"": ""1920x1080px"", ""display_aspect_ratio"": """", ""battery_life"": ""42Wh"", ""weight"": null, ""dimensions"": null}",https://www.anhoch.com/storage/media/21dl003srm_1.jpg,/2025/04/22/image-Photoroom214_d8c544ff-eba3-4f50-9ffb-3ff34b4aea5c.png?width=192,0.7077,0.869
Mouse Logitech Wireless B170 Black,Mouse LOGITECH B170 WI-FI BUSINESS црн,"690,00 ден.",649.0,,,https://www.anhoch.com/products/mouse-logitech-wireless-b170-black-0715,/categories/GLUVCINA/LOGITECH-WI-FI-B170-BUSINESS-BLACK,"{""brand"": ""Logitech"", ""model"": ""B170"", ""type"": ""Wireless Mouse"", ""sensor_type"": null, ""dpi"": null, ""polling_rate"": null, ""button_count"": null, ""ergonomic_design"": null, ""wireless"": true, ""battery_life"": ""1 year""}","{""brand"": ""Logitech"", ""model"": ""B170"", ""mouse_type"": ""business"", ""sensor_type"": null, ""resolution"": ""1000"", ""dpi"": ""1000"", ""button_count"": 3, ""ergonomic"": null, ""connectivity"": ""wireless, USB""}",https://www.anhoch.com/storage/media/910-004798-1.jpg,/2018/01/30/1_9d2ca417-30c5-4d9f-a164-561726d084fb.JPG?width=192,0.7606,0.8075
"Notebook HP 15 Ryzen3 7320U/8GB/512GB/15.6"" FullHD IPS/DOS/Silver",ASUS Vivobook Go 15 E1504FA-NJ1534 R3-7320U/16GB DDR5/512GB,"17.980,00 ден.",23.999,,22.999,https://www.anhoch.com/products/notebook-hp-15-ryzen3-7320u8gb512gb156-fullhd-ipsdossilver-1438,/categories/prenosni_kompjuteri/84111573-ASUS-Vivobook-Go-15-E1504FA-NJ1534-R3-7320U-16GB-DDR5-512GB,"{""brand"": ""HP"", ""model"": ""Notebook HP 15"", ""processor"": ""AMD Ryzen\u2122 3 7320U"", ""processor_generation"": ""3"", ""ram"": ""8 GB"", ""storage"": ""512 GB"", ""storage_type"": ""PCIe NVMe M.2 SSD"", ""operating_system"": ""DOS"", ""display_size"": ""15.6\"""", ""display_resolution"": ""1920x1080"", ""graphics_card"": ""Integrated AMD Radeon"", ""battery_life"": ""Up to 10 hours and 30 minutes""}","{""brand"": ""ASUS"", ""model"": ""Vivobook Go 15 E1504FA-NJ1534"", ""processor"": ""AMD Ryzen 3 7320U"", ""cpu_cores"": ""4 cores"", ""cpu_threads"": ""8 Threads"", ""cpu_speed"": ""up to 4.1GHz"", ""ram"": ""16GB LPDDR5"", ""storage"": ""512GB SSD M.2 NVMe PCIe 3.0"", ""operating_system"": null, ""display_size"": ""15.6"", ""display_resolution"": ""1920x1080px"", ""display_aspect_ratio"": null, ""battery_life"": ""42Wh"", ""weight"": null, ""dimensions"": null}",https://www.anhoch.com/storage/media/88x04ea.jpg,/2025/02/13/vivobookgo15_b412cde5-5169-4fb0-a5cf-fe0004968f47.jpg?width=192,0.6517,0.8423
"Notebook HP 15 i5-1334U 16GB/512GB/15.6"" FHD IPS/Iris XE/Type-C/DOS/Moonlight blue",HP 15-FD0030NN i3-1315U/8GB/512GB B3PF6EA,"25.980,00 ден.",19.999,,,https://www.anhoch.com/products/notebook-hp-15-i51334u-16gb512gb156-fhd-ipsiris-xetypecdosmoonlight-blue-7665,/categories/prenosni_kompjuteri/84113283-HP-15-FD0030NN-i3-1315U-8GB-512GB-B3PF6EA,"{""brand"": ""HP"", ""model"": ""Notebook 15"", ""processor"": ""Intel Core i5-1334U"", ""processor_generation"": null, ""ram"": ""16 GB"", ""storage"": ""512 GB"", ""storage_type"": ""PCIe NVMe M.2 SSD"", ""operating_system"": ""FreeDOS 3.0"", ""display_size"": ""15.6\"""", ""display_resolution"": ""FHD (1920 x 1080)"", ""graphics_card"": ""Intel Iris X"", ""battery_life"": ""Up to 7 hours and 45 minutes""}","{""brand"": ""HP"", ""model"": ""15-FD0030NN"", ""processor"": ""Intel Core i3-1315U"", ""cpu_cores"": 6, ""cpu_threads"": 8, ""cpu_speed"": ""up to 4.5 GHz with Intel Turbo Boost Technology"", ""ram"": ""8GB DDR4 3200MHz"", ""storage"": ""512GB SSD PCIe NVMe M.2"", ""operating_system"": null, ""display_size"": ""15.6\"""", ""display_resolution"": ""1920x1080px"", ""display_aspect_ratio"": null, ""battery_life"": ""41Wh"", ""weight"": null, ""dimensions"": null}",https://www.anhoch.com/storage/media/a2lp6ea.jpg,/2025/05/16/image-Photoroom247_ce88b56c-b474-4def-afd9-fee15f86324d.png?width=192,0.7333,0.8595
Mouse Dell MS3320W Wireless Black,Mouse DELL WM126 WIRELESS Black,"1.490,00 ден.",1.099,,,https://www.anhoch.com/products/mouse-dell-ms3320w-wireless-black-0420,/categories/GLUVCINA/MOUSE-DELL-WM126-WIRELESS-Black,"{""brand"": ""Dell"", ""model"": ""MS3320W"", ""type"": ""Mouse"", ""sensor_type"": ""Optical"", ""dpi"": ""1600"", ""polling_rate"": null, ""button_count"": 3, ""ergonomic_design"": null, ""wireless"": true, ""battery_life"": null}","{""brand"": ""DELL"", ""model"": ""WM126"", ""mouse_type"": ""Wireless"", ""sensor_type"": null, ""resolution"": null, ""dpi"": ""1000"", ""button_count"": ""3"", ""ergonomic"": null, ""connectivity"": ""Wireless""}",https://www.anhoch.com/storage/media/21072022165053use-ms3320w-details-hero-500-ng.jpg,/2018/06/10/81HMITXiHCL._SL1500__afb1de4e-5a5e-4879-bcae-e16c18d59a4e.jpg?width=192,0.8614,0.8013
"Monitor 27"" LG 27GR75Q-B Gaming IPS 165Hz 1ms, QHD, HDMIx2/DP G-sync, Freesync, HDR10",LG GAMING 27GS75Q-B QHD IPS 200Hz,"14.580,00 ден.",16.999,,12.799,https://www.anhoch.com/products/monitor-27-lg-27gr75qb-gaming-ips-165hz-1ms-qhd-hdmix2dp-gsync-freesync-hdr10-0980,/categories/monitori1/LG-GAMING-27GS75Q-B-QHD-IPS-200Hz,"{""brand"": ""LG"", ""model"": ""27GR75Q-B"", ""screen_size"": ""27"", ""resolution"": ""2560 x 1440"", ""aspect_ratio"": ""16:9"", ""panel_type"": ""IPS"", ""refresh_rate"": ""165Hz"", ""response_time"": ""1ms"", ""connectivity_options"": ""HDMI x2, DP"", ""adjustability_options"": ""Tilt/Height/Pivot""}","{""brand"": ""LG"", ""model"": ""GAMING 27GS75Q-B"", ""screen_size"": ""27"", ""resolution"": ""QHD (2560 x 1440)"", ""aspect_ratio"": null, ""panel_type"": ""IPS"", ""refresh_rate"": ""200Hz"", ""response_time"": ""1ms""}",https://www.anhoch.com/storage/media/27gr75qb.jpg,/2024/12/06/lg27qhd200hz_d27b6010-64ed-4e14-96d3-0fd4f81e3299.jpg?width=192,0.7608,0.8691
"Notebook Lenovo IdeaPad Slim 3 Core 5 120U/16GB/512GB SSD/15.6"" FHD AG 250nits/Arc.Grey",LENOVO IdeaPad Slim 3 15ABR8 R7-5825U/16GB/512GB,"31.980,00 ден.",27.999,,24.999,https://www.anhoch.com/products/notebook-lenovo-ideapad-slim-3-core-5-120u16gb512gb-ssd156-fhd-ag-250nitsarcgrey-7424,/categories/prenosni_kompjuteri/84112159-LENOVO-IdeaPad-Slim-3-15ABR8-R7-5825U-16GB-512GB,"{""brand"": ""Lenovo"", ""model"": ""IdeaPad Slim 3"", ""processor"": ""Intel Core 5 120U"", ""processor_generation"": ""5-Gen"", ""ram"": ""16GB"", ""storage"": ""512GB"", ""storage_type"": ""SSD"", ""operating_system"": null, ""display_size"": ""15.6\"""", ""display_resolution"": ""FHD (1920x1080)"", ""graphics_card"": ""Integrated Intel Graphics"", ""battery_life"": null}","{""brand"": ""LENOVO"", ""model"": ""IdeaPad Slim 3 15ABR8"", ""processor"": ""AMD Ryzen 7 5825U"", ""cpu_cores"": 8, ""cpu_threads"": 16, ""cpu_speed"": {""base"": 2.0, ""boost"": 4.5}, ""ram"": ""16GB"", ""storage"": ""512GB SSD"", ""operating_system"": null, ""display_size"": 15.6, ""display_resolution"": ""1920x1080px"", ""display_aspect_ratio"": null, ""battery_life"": 47, ""weight"": null, ""dimensions"": null}",https://www.anhoch.com/storage/media/83e60013rm.jpg,/2025/03/20/image-Photoroom20_dcef8aaf-6bb1-4d91-942d-a3473d474859.png?width=192,0.8166,0.8983
"Monitor 32"" LG 32GS60QC-B Gaming VA Curved 180Hz, QHD, HDMI, DP, Freesync",LG GAMING 32GS60QC-BQ CURVED QHD VA 180Hz,"12.780,00 ден.",14.999,,12.999,https://www.anhoch.com/products/monitor-32-lg-32gs60qcb-gaming-va-curved-180hz-qhd-hdmi-dp-freesync-3812,/categories/monitori1/LG-GAMING-32GS60QC-BQ-QHD-VA-180Hz,"{""brand"": ""LG"", ""model"": ""32GS60QC-B"", ""screen_size"": ""31.5"", ""resolution"": ""2560 x 1440"", ""aspect_ratio"": ""16:9"", ""panel_type"": ""VA"", ""refresh_rate"": ""180Hz"", ""response_time"": ""1ms"", ""connectivity_options"": ""DisplayPort, HDMI"", ""adjustability_options"": ""Tilt""}","{""brand"": ""LG"", ""model"": ""32GS60QC-BQ"", ""screen_size"": ""80cm"", ""resolution"": ""QHD (2560 x 1440)"", ""aspect_ratio"": null, ""panel_type"": ""VA"", ""refresh_rate"": ""180Hz"", ""response_time"": ""1ms""}",https://www.anhoch.com/storage/media/32gs60qc-b.jpg,/2024/12/06/lg32qhd180hz_e4aec2f4-fa02-4cd9-84b0-fb5c08a0d991.jpg?width=192,0.7885,0.872
